PRODUCTO,CANTIDAD_PRODUCTO, PRECIO_TOTAL,FECHA,AÑO,MES,NomMes,DIA,REFERENCIA,GENERO,TALLA,CANTIDAD_DEVOLUCION, PRECIO_TOTAL_DEVOL
[602025L] PIJAMA BAUSI SUBLIMADA 602025 (L),6, $  27.600 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,L,,
[602025M] PIJAMA BAUSI SUBLIMADA 602025 (M),5, $  23.000 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,M,,
[602026L] PIJAMA BAUSI SUBLIMADA 602026 (L),2, $  9.200 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,L,,
[602026M] PIJAMA BAUSI SUBLIMADA 602026 (M),4, $  17.000 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,M,,
[602027L] PIJAMA BAUSI SUBLIMADA 602027 (L),1, $  4.600 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,L,,
[602027M] PIJAMA BAUSI SUBLIMADA 602027 (M),2, $  9.200 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,M,,
[602028L] PIJAMA BAUSI SUBLIMADA 602028 (L),2, $  9.200 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,L,,
[602028M] PIJAMA BAUSI SUBLIMADA 602028 (M),6, $  29.000 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,M,,
[602029L] PIJAMA BAUSI SUBLIMADA 602029 (L),2, $  11.600 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,L,,
[602029M] PIJAMA BAUSI SUBLIMADA 602029 (M),5, $  23.000 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,M,,
[602030L] PIJAMA BAUSI SUBLIMADA 602030 (L),2, $  9.200 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,L,,
[602030M] PIJAMA BAUSI SUBLIMADA 602030 (M),2, $  9.200 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,M,,
[602032L] PIJAMA BAUSI SUBLIMADA 602032 (L),5, $  26.800 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,L,,
[602032M] PIJAMA BAUSI SUBLIMADA 602032 (M),5, $  23.000 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,M,,
[602033L] PIJAMA BAUSI SUBLIMADA 602033 (L),7, $  32.200 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,L,,
[602033M] PIJAMA BAUSI SUBLIMADA 602033 (M),5, $  23.000 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,M,,
[602034L] PIJAMA BAUSI SUBLIMADA 602034 (L),7, $  34.600 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,L,,
[602034M] PIJAMA BAUSI SUBLIMADA 602034 (M),8, $  37.800 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,M,,
[602036L] PIJAMA BAUSI SUBLIMADA 602036 (L),6, $  27.600 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,L,,
[602037L] PIJAMA BAUSI SUBLIMADA 602037 (L),1, $  4.600 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,L,,
[602037M] PIJAMA BAUSI SUBLIMADA 602037 (M),4, $  20.800 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,M,,
[602038L] PIJAMA BAUSI SUBLIMADA 602038 (L),2, $  9.200 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,L,,
[602038M] PIJAMA BAUSI SUBLIMADA 602038 (M),3, $  15.200 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,M,,
[602040L] PIJAMA BAUSI SUBLIMADA 602040 (L),3, $  14.600 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,L,,
[602040M] PIJAMA BAUSI SUBLIMADA 602040 (M),3, $  14.200 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,M,,
